frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,103,91,102.99,91.0,0.01,0.0,0.398,0.375,0.723,1.905,1,ok
2,98,95,98.0,95.01,0.0,0.01,0.283,0.192,0.722,1.605,1,ok
3,65,134,65.0,134.0,0.0,0.0,0.133,0.352,0.722,1.623,1,ok
4,80,92,80.0,91.99,0.0,0.01,0.252,0.384,0.722,1.772,1,ok
5,165,84,165.0,84.01,0.0,0.01,0.383,0.400,0.726,1.922,1,ok
6,53,66,53.01,65.99,0.01,0.01,0.315,0.384,0.723,1.836,1,ok
7,46,59,46.0,59.0,0.0,0.0,0.094,0.368,0.723,1.595,1,ok
8,59,6,59.0,5.99,0.0,0.01,0.112,0.336,0.724,1.582,1,ok
9,51,10,51.0,10.0,0.0,0.0,0.193,0.288,0.724,1.612,1,ok
10,19,48,18.99,48.01,0.01,0.01,0.226,0.338,0.721,1.698,1,ok
11,13,53,13.0,53.0,0.0,0.0,0.095,0.304,0.725,1.529,1,ok
12,9,67,9.01,67.0,0.01,0.0,0.100,0.358,0.723,1.588,1,ok
13,8,76,8.01,75.99,0.01,0.01,0.079,0.224,0.721,1.432,1,ok
14,99,95,99.0,94.99,0.0,0.01,0.437,0.304,0.726,1.873,1,ok
