frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,48,19.99,48.0,0.01,0.0,0.210,0.366,0.726,1.709,1,ok
2,28,48,28.0,48.0,0.0,0.0,0.189,0.096,0.723,1.424,1,ok
3,39,53,39.0,53.0,0.0,0.0,0.139,0.263,0.726,1.539,1,ok
4,46,59,45.99,59.0,0.01,0.0,0.230,0.199,0.726,1.556,1,ok
5,142,66,141.99,66.0,0.01,0.0,0.486,0.127,0.723,1.750,1,ok
6,72,86,72.0,86.0,0.0,0.0,0.182,0.325,0.733,1.646,1,ok
7,80,92,79.99,91.99,0.01,0.01,0.219,0.267,0.726,1.626,1,ok
8,66,134,66.0,134.01,0.0,0.01,0.152,0.392,0.725,1.682,1,ok
9,98,95,98.01,95.01,0.01,0.01,0.291,0.342,0.732,1.771,1,ok
10,103,90,103.0,89.99,0.0,0.01,0.275,0.309,0.727,1.720,1,ok
11,9,68,9.01,68.0,0.01,0.0,0.364,0.394,0.729,1.897,1,ok
12,30,1,30.01,1.0,0.01,0.0,0.251,0.413,0.720,1.794,1,ok
13,41,8,41.0,8.01,0.0,0.01,0.226,0.313,0.727,1.676,1,ok
14,113,54,113.0,54.01,0.0,0.01,0.418,0.404,0.724,1.951,1,ok
