frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,37,64,36.99,64.0,0.01,0.0,0.229,0.384,0.728,1.756,1,ok
2,40,73,40.01,73.0,0.01,0.0,0.212,0.384,0.726,1.740,1,ok
3,50,100,49.99,100.0,0.01,0.0,0.167,0.310,0.731,1.620,1,ok
4,160,130,160.0,130.0,0.0,0.0,0.446,0.184,0.727,1.767,1,ok
5,14,99,14.0,99.01,0.0,0.01,0.390,0.424,0.731,1.959,1,ok
6,93,93,93.0,93.0,0.0,0.0,0.399,0.292,0.727,1.819,1,ok
7,89,82,89.0,82.0,0.0,0.0,0.229,0.432,0.732,1.808,1,ok
8,85,72,85.0,72.01,0.0,0.01,0.244,0.214,0.724,1.600,1,ok
9,157,32,156.98,32.0,0.02,0.0,0.441,0.372,0.726,1.950,1,ok
10,64,33,64.0,33.0,0.0,0.0,0.245,0.312,0.730,1.702,1,ok
11,106,39,106.0,39.0,0.0,0.0,0.330,0.288,0.723,1.753,1,ok
12,119,55,119.01,54.99,0.01,0.01,0.208,0.224,0.724,1.571,1,ok
13,129,70,128.99,70.0,0.01,0.0,0.319,0.236,0.724,1.696,1,ok
14,40,72,39.99,71.99,0.01,0.01,0.232,0.192,0.735,1.567,1,ok
