frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,35,69,34.99,69.0,0.01,0.0,0.197,0.274,0.726,1.608,1,ok
2,137,95,137.0,95.0,0.0,0.0,0.390,0.294,0.725,1.828,1,ok
3,35,101,35.0,101.0,0.0,0.0,0.356,0.283,0.725,1.771,1,ok
4,77,121,77.01,121.0,0.01,0.0,0.307,0.325,0.726,1.774,1,ok
5,71,133,71.01,132.99,0.01,0.01,0.193,0.309,0.733,1.649,1,ok
6,88,85,88.0,85.0,0.0,0.0,0.274,0.416,0.729,1.833,1,ok
7,83,76,83.0,76.01,0.0,0.01,0.196,0.242,0.724,1.574,1,ok
8,157,49,157.01,49.01,0.01,0.01,0.407,0.453,0.727,2.003,1,SLOW
9,157,15,157.0,14.99,0.0,0.01,0.059,0.612,0.731,1.808,1,ok
10,74,22,73.99,21.99,0.01,0.01,0.310,0.208,0.723,1.652,1,ok
11,58,12,58.0,12.0,0.0,0.0,0.152,0.144,0.728,1.431,1,ok
12,124,66,123.99,66.0,0.01,0.0,0.456,0.414,0.727,2.004,1,SLOW
13,130,78,130.0,78.0,0.0,0.0,0.298,0.145,0.722,1.566,1,ok
14,37,79,37.0,79.0,0.0,0.0,0.297,0.259,0.725,1.685,1,ok
