frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,120,96,119.99,96.0,0.01,0.0,0.437,0.465,0.722,2.028,1,SLOW
2,88,132,88.01,132.0,0.01,0.0,0.359,0.287,0.725,1.787,1,ok
3,79,131,79.0,130.99,0.0,0.01,0.266,0.224,0.722,1.616,1,ok
4,70,136,70.01,136.01,0.01,0.01,0.217,0.496,0.723,1.843,1,ok
5,83,86,83.0,85.99,0.0,0.01,0.242,0.320,0.722,1.689,1,ok
6,163,70,163.01,70.0,0.01,0.0,0.425,0.320,0.721,1.881,1,ok
7,59,58,58.99,57.99,0.01,0.01,0.238,0.129,0.724,1.502,1,ok
8,49,51,49.0,51.0,0.0,0.0,0.089,0.373,0.722,1.592,1,ok
9,145,1,145.0,1.0,0.0,0.0,0.424,0.362,0.721,1.919,1,ok
10,54,8,54.01,8.01,0.01,0.01,0.239,0.400,0.725,1.779,1,ok
11,27,56,27.0,56.0,0.0,0.0,0.187,0.352,0.724,1.677,1,ok
12,25,63,25.0,63.0,0.0,0.0,0.076,0.406,0.726,1.615,1,ok
13,121,93,121.0,93.01,0.0,0.01,0.488,0.368,0.722,1.989,1,ok
14,89,132,88.99,131.99,0.01,0.01,0.257,0.319,0.721,1.712,1,ok
