frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,128,85,127.99,85.0,0.01,0.0,0.617,0.397,0.723,2.151,1,SLOW
2,97,128,97.01,128.0,0.01,0.0,0.302,0.400,0.724,1.838,1,ok
3,83,125,82.99,125.01,0.01,0.01,0.223,0.288,0.722,1.645,1,ok
4,98,101,97.98,101.0,0.02,0.0,0.305,0.469,0.731,1.919,1,ok
5,89,90,88.99,90.0,0.01,0.0,0.172,0.448,0.722,1.748,1,ok
6,83,81,82.99,81.01,0.01,0.01,0.231,0.304,0.723,1.665,1,ok
7,75,69,74.99,68.99,0.01,0.01,0.084,0.400,0.723,1.609,1,ok
8,85,10,85.01,9.99,0.01,0.01,0.265,0.433,0.721,1.829,1,ok
9,120,38,120.0,38.0,0.0,0.0,0.294,0.446,0.725,1.870,1,ok
10,141,1,141.0,0.99,0.0,0.01,0.258,0.386,0.724,1.783,1,ok
11,50,4,50.0,3.99,0.0,0.01,0.282,0.306,0.722,1.719,1,ok
12,124,72,123.99,72.0,0.01,0.0,0.383,0.416,0.727,1.933,1,ok
13,30,70,29.99,69.99,0.01,0.01,0.257,0.249,0.720,1.633,1,ok
14,123,107,123.01,107.0,0.01,0.0,0.494,0.368,0.723,1.997,1,ok
