frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,35,69,35.01,68.99,0.01,0.01,0.255,0.416,0.727,1.808,1,ok
2,137,95,137.01,94.99,0.01,0.01,0.417,0.304,0.725,1.857,1,ok
3,35,101,35.01,100.99,0.01,0.01,0.335,0.271,0.721,1.731,1,ok
4,77,121,76.99,120.99,0.01,0.01,0.243,0.343,0.721,1.719,1,ok
5,71,133,71.0,133.01,0.0,0.01,0.232,0.250,0.728,1.621,1,ok
6,88,85,88.0,85.0,0.0,0.0,0.492,0.545,0.726,2.178,1,SLOW
7,83,76,83.0,76.01,0.0,0.01,0.248,0.327,0.725,1.700,1,ok
8,157,49,157.01,48.99,0.01,0.01,0.435,0.237,0.720,1.809,1,ok
9,157,15,157.0,15.0,0.0,0.0,0.111,0.176,0.721,1.416,1,ok
10,74,22,74.0,22.01,0.0,0.01,0.231,0.320,0.721,1.674,1,ok
11,58,12,58.0,12.0,0.0,0.0,0.154,0.288,0.722,1.579,1,ok
12,124,66,124.0,66.0,0.0,0.0,0.398,0.433,0.723,1.961,1,ok
13,130,78,130.01,77.99,0.01,0.01,0.307,0.272,0.734,1.728,1,ok
14,37,79,37.0,79.0,0.0,0.0,0.286,0.177,0.724,1.595,1,ok
