frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,94,95,94.0,95.01,0.0,0.01,0.473,0.576,0.721,2.181,1,SLOW
2,5,97,5.0,97.01,0.0,0.01,0.275,0.193,0.721,1.604,1,ok
3,45,125,45.0,125.0,0.0,0.0,0.206,0.259,0.722,1.600,1,ok
4,166,100,166.0,100.0,0.0,0.0,0.492,0.224,0.723,1.844,1,ok
5,47,71,47.0,71.0,0.0,0.0,0.294,0.416,0.721,1.846,1,ok
6,131,66,131.0,66.01,0.0,0.01,0.415,0.278,0.721,1.817,1,ok
7,34,51,34.0,51.0,0.0,0.0,0.308,0.272,0.723,1.716,1,ok
8,51,18,51.0,17.99,0.0,0.01,0.205,0.436,0.721,1.770,1,ok
9,38,20,38.0,19.99,0.0,0.01,0.291,0.160,0.722,1.583,1,ok
10,23,12,22.99,12.0,0.01,0.0,0.129,0.244,0.722,1.506,1,ok
11,95,76,95.0,75.99,0.0,0.01,0.366,0.384,0.725,1.879,1,ok
12,179,70,179.0,69.99,0.0,0.01,0.325,0.271,0.722,1.731,1,ok
13,74,137,73.99,137.0,0.01,0.0,0.401,0.400,0.721,1.935,1,ok
14,60,127,59.99,126.99,0.01,0.01,0.145,0.272,0.723,1.555,1,ok
