frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,128,85,128.0,85.0,0.0,0.0,0.545,0.448,0.725,2.124,1,SLOW
2,97,128,97.0,128.0,0.0,0.0,0.356,0.256,0.729,1.750,1,ok
3,83,125,83.0,124.99,0.0,0.01,0.156,0.304,0.723,1.589,1,ok
4,98,101,98.01,100.99,0.01,0.01,0.358,0.415,0.723,1.911,1,ok
5,89,90,89.0,90.0,0.0,0.0,0.221,0.271,0.723,1.625,1,ok
6,83,81,82.99,81.01,0.01,0.01,0.145,0.261,0.722,1.541,1,ok
7,75,69,75.0,68.99,0.0,0.01,0.203,0.479,0.728,1.812,1,ok
8,85,10,84.99,9.99,0.01,0.01,0.245,0.432,0.722,1.805,1,ok
9,120,38,120.0,38.0,0.0,0.0,0.342,0.336,0.724,1.810,1,ok
10,141,1,140.99,1.01,0.01,0.01,0.370,0.273,0.723,1.778,1,ok
11,50,4,50.01,4.0,0.01,0.0,0.270,0.272,0.725,1.682,1,ok
12,124,72,124.0,71.99,0.0,0.01,0.394,0.304,0.721,1.829,1,ok
13,30,70,30.0,70.0,0.0,0.0,0.292,0.272,0.725,1.693,1,ok
14,123,107,123.0,107.0,0.0,0.0,0.422,0.351,0.726,1.906,1,ok
