frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,133,80,133.01,79.99,0.01,0.01,0.448,0.455,0.721,2.035,1,SLOW
2,137,95,137.0,94.99,0.0,0.01,0.170,0.400,0.723,1.698,1,ok
3,118,113,118.0,113.01,0.0,0.01,0.325,0.339,0.722,1.787,1,ok
4,82,127,82.0,127.0,0.0,0.0,0.249,0.304,0.722,1.690,1,ok
5,99,95,99.0,95.01,0.0,0.01,0.251,0.432,0.723,1.813,1,ok
6,176,71,176.01,70.99,0.01,0.01,0.550,0.303,0.725,1.981,1,ok
7,85,75,85.01,75.0,0.01,0.0,0.304,0.129,0.725,1.561,1,ok
8,157,49,157.01,49.0,0.01,0.0,0.336,0.384,0.724,1.856,1,ok
9,90,19,89.99,18.99,0.01,0.01,0.275,0.180,0.722,1.590,1,ok
10,45,45,45.01,44.99,0.01,0.01,0.204,0.304,0.724,1.645,1,ok
11,61,6,61.01,6.01,0.01,0.01,0.220,0.320,0.720,1.677,1,ok
12,129,68,129.0,68.01,0.0,0.01,0.466,0.381,0.724,1.978,1,ok
13,133,79,133.0,78.99,0.0,0.01,0.239,0.289,0.722,1.665,1,ok
14,38,80,38.0,80.0,0.0,0.0,0.269,0.194,0.730,1.601,1,ok
