frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,41,57,41.0,57.0,0.0,0.0,0.203,0.302,0.731,1.647,1,ok
2,135,71,135.01,71.0,0.01,0.0,0.448,0.407,0.726,1.988,1,ok
3,144,86,144.01,86.0,0.01,0.0,0.303,0.332,0.724,1.773,1,ok
4,17,121,17.01,121.01,0.01,0.01,0.459,0.342,0.722,1.936,1,ok
5,74,114,73.99,114.0,0.01,0.0,0.459,0.241,0.735,1.849,1,ok
6,15,95,15.0,95.0,0.0,0.0,0.220,0.368,0.730,1.732,1,ok
7,5,79,5.0,79.01,0.0,0.01,0.130,0.245,0.723,1.510,1,ok
8,95,81,94.99,81.0,0.01,0.0,0.478,0.177,0.728,1.799,1,ok
9,90,70,89.99,69.99,0.01,0.01,0.278,0.283,0.728,1.693,1,ok
10,80,42,80.01,41.99,0.01,0.01,0.321,0.420,0.723,1.876,1,ok
11,55,30,54.99,30.0,0.01,0.0,0.271,0.447,0.727,1.854,1,ok
12,68,18,67.99,17.99,0.01,0.01,0.132,0.422,0.728,1.696,1,ok
13,59,3,58.99,3.0,0.01,0.0,0.226,0.323,0.728,1.694,1,ok
14,134,70,134.0,70.0,0.0,0.0,0.375,0.461,0.723,1.965,1,ok
