frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,20.0,154.99,0.0,0.01,0.156,0.747,0.725,2.036,1,SLOW
2,18,143,17.99,143.0,0.01,0.0,0.101,0.304,0.724,1.529,1,ok
3,27,138,27.01,138.0,0.01,0.0,0.153,0.256,0.721,1.542,1,ok
4,40,143,39.99,143.0,0.01,0.0,0.212,0.302,0.725,1.642,1,ok
5,55,155,55.0,154.99,0.0,0.01,0.218,0.287,0.727,1.647,1,ok
6,67,168,67.0,167.99,0.0,0.01,0.163,0.304,0.724,1.602,1,ok
7,78,178,78.01,178.0,0.01,0.0,0.256,0.418,0.726,1.813,1,ok
8,91,186,91.0,185.99,0.0,0.01,0.250,0.418,0.727,1.801,1,ok
9,102,186,102.0,186.0,0.0,0.0,0.239,0.083,0.730,1.466,1,ok
10,106,178,105.99,178.01,0.01,0.01,0.206,0.240,0.727,1.584,1,ok
11,106,167,106.0,166.99,0.0,0.01,0.072,0.307,0.729,1.519,1,ok
12,105,155,105.0,154.99,0.0,0.01,0.212,0.377,0.726,1.724,1,ok
13,104,143,103.99,143.0,0.01,0.0,0.214,0.389,0.725,1.729,1,ok
14,112,137,112.0,137.0,0.0,0.0,0.260,0.343,0.732,1.743,1,ok
