frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,19.99,154.99,0.01,0.01,0.176,0.460,0.728,1.768,1,ok
2,18,143,18.0,143.0,0.0,0.0,0.099,0.400,0.722,1.623,1,ok
3,27,138,26.99,138.0,0.01,0.0,0.122,0.257,0.722,1.514,1,ok
4,40,143,40.01,143.0,0.01,0.0,0.205,0.224,0.723,1.566,1,ok
5,55,155,55.0,155.0,0.0,0.0,0.253,0.296,0.726,1.691,1,ok
6,67,168,66.99,167.99,0.01,0.01,0.174,0.320,0.723,1.632,1,ok
7,78,178,78.01,178.01,0.01,0.01,0.318,0.241,0.722,1.690,1,ok
8,91,186,91.0,186.0,0.0,0.0,0.273,0.208,0.723,1.616,1,ok
9,102,186,102.01,186.0,0.01,0.0,0.224,0.096,0.722,1.452,1,ok
10,106,178,106.01,178.0,0.01,0.0,0.274,0.288,0.724,1.699,1,ok
11,106,167,106.0,167.0,0.0,0.0,0.045,0.288,0.725,1.472,1,ok
12,105,155,105.0,154.99,0.0,0.01,0.240,0.222,0.721,1.589,1,ok
13,104,143,103.99,143.0,0.01,0.0,0.197,0.304,0.727,1.635,1,ok
14,112,137,112.01,137.0,0.01,0.0,0.272,0.288,0.723,1.694,1,ok
