frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,19.99,155.0,0.01,0.0,0.199,0.672,0.723,1.998,1,ok
2,18,143,18.01,143.0,0.01,0.0,0.087,0.272,0.723,1.488,1,ok
3,27,138,26.99,138.0,0.01,0.0,0.102,0.256,0.722,1.492,1,ok
4,40,143,40.0,143.0,0.0,0.0,0.144,0.256,0.723,1.525,1,ok
5,55,155,55.0,154.99,0.0,0.01,0.202,0.336,0.721,1.667,1,ok
6,67,168,67.0,168.0,0.0,0.0,0.246,0.544,0.723,1.929,1,ok
7,78,178,78.0,178.0,0.0,0.0,0.332,0.544,0.722,2.000,1,ok
8,91,186,90.99,185.99,0.01,0.01,0.266,0.336,0.724,1.738,1,ok
9,102,186,102.0,186.0,0.0,0.0,0.255,0.096,0.722,1.486,1,ok
10,106,178,106.0,177.99,0.0,0.01,0.224,0.288,0.722,1.636,1,ok
11,106,167,106.0,167.0,0.0,0.0,0.041,0.256,0.724,1.436,1,ok
12,105,155,105.0,155.0,0.0,0.0,0.204,0.308,0.722,1.645,1,ok
13,104,143,104.0,143.01,0.0,0.01,0.205,0.289,0.722,1.616,1,ok
14,112,137,112.0,137.0,0.0,0.0,0.237,0.352,0.724,1.715,1,ok
