frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,19.99,155.0,0.01,0.0,0.160,0.719,0.214,1.508,1,ok
2,18,143,17.99,143.0,0.01,0.0,0.073,0.320,0.084,0.880,1,ok
3,27,138,27.0,138.01,0.0,0.01,0.151,0.416,0.099,1.076,1,ok
4,40,143,39.99,143.0,0.01,0.0,0.161,0.288,0.097,0.957,1,ok
5,55,155,55.0,155.0,0.0,0.0,0.163,0.336,0.718,1.625,1,ok
6,67,168,67.0,168.0,0.0,0.0,0.200,0.225,0.098,0.925,1,ok
7,78,178,77.99,178.01,0.01,0.01,0.153,0.271,0.423,1.250,1,ok
8,91,186,90.99,186.0,0.01,0.0,0.213,0.240,0.084,0.950,1,ok
9,102,186,102.0,186.0,0.0,0.0,0.220,0.097,0.320,1.040,1,ok
10,106,178,106.0,178.01,0.0,0.01,0.204,0.239,0.141,0.987,1,ok
11,106,167,105.99,166.99,0.01,0.01,0.062,0.352,0.663,1.491,1,ok
12,105,155,104.99,154.99,0.01,0.01,0.218,0.256,0.360,1.241,1,ok
13,104,143,103.99,143.0,0.01,0.0,0.210,0.237,0.301,1.164,1,ok
14,112,137,112.0,136.99,0.0,0.01,0.257,0.320,0.282,1.265,1,ok
