frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,19.99,155.0,0.01,0.0,0.279,0.686,0.736,2.109,1,SLOW
2,18,143,18.01,143.0,0.01,0.0,0.163,0.303,0.724,1.607,1,ok
3,27,138,27.01,138.0,0.01,0.0,0.151,0.361,0.725,1.648,1,ok
4,40,143,40.0,143.0,0.0,0.0,0.145,0.313,0.726,1.588,1,ok
5,55,155,54.99,155.0,0.01,0.0,0.275,0.461,0.726,1.878,1,ok
6,67,168,67.0,168.0,0.0,0.0,0.209,0.326,0.731,1.672,1,ok
7,78,178,78.0,178.01,0.0,0.01,0.220,0.288,0.724,1.647,1,ok
8,91,186,91.0,186.0,0.0,0.0,0.245,0.327,0.733,1.711,1,ok
9,102,186,102.0,186.0,0.0,0.0,0.268,0.098,0.723,1.494,1,ok
10,106,178,106.01,178.0,0.01,0.0,0.294,0.291,0.725,1.722,1,ok
11,106,167,105.99,167.01,0.01,0.01,0.041,0.375,0.725,1.547,1,ok
12,105,155,104.99,155.0,0.01,0.0,0.187,0.312,0.731,1.643,1,ok
13,104,143,104.01,143.0,0.01,0.0,0.219,0.304,0.726,1.665,1,ok
14,112,137,112.0,137.0,0.0,0.0,0.268,0.316,0.725,1.712,1,ok
