frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,20.01,155.0,0.01,0.0,0.169,0.672,0.726,1.974,1,ok
2,18,143,18.01,143.0,0.01,0.0,0.161,0.208,0.723,1.498,1,ok
3,27,138,26.99,138.0,0.01,0.0,0.165,0.288,0.727,1.595,1,ok
4,40,143,40.0,143.01,0.0,0.01,0.204,0.348,0.722,1.686,1,ok
5,55,155,55.0,155.0,0.0,0.0,0.225,0.319,0.722,1.674,1,ok
6,67,168,67.0,167.99,0.0,0.01,0.263,0.350,0.721,1.743,1,ok
7,78,178,78.0,178.0,0.0,0.0,0.292,0.320,0.720,1.743,1,ok
8,91,186,91.0,186.0,0.0,0.0,0.276,0.208,0.724,1.616,1,ok
9,102,186,102.01,185.99,0.01,0.01,0.301,0.111,0.729,1.551,1,ok
10,106,178,106.0,178.0,0.0,0.0,0.172,0.400,0.728,1.703,1,ok
11,106,167,106.01,167.01,0.01,0.01,0.080,0.368,0.722,1.579,1,ok
12,105,155,105.0,155.01,0.0,0.01,0.198,0.368,0.720,1.695,1,ok
13,104,143,104.0,142.99,0.0,0.01,0.133,0.160,0.721,1.420,1,ok
14,112,137,112.0,136.99,0.0,0.01,0.230,0.464,0.721,1.828,1,ok
