frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,20.0,155.0,0.0,0.0,0.159,0.576,0.720,1.870,1,ok
2,18,143,18.01,142.99,0.01,0.01,0.081,0.288,0.727,1.512,1,ok
3,27,138,27.0,138.0,0.0,0.0,0.165,0.127,0.728,1.428,1,ok
4,40,143,40.0,143.01,0.0,0.01,0.214,0.122,0.722,1.473,1,ok
5,55,155,55.0,154.99,0.0,0.01,0.253,0.368,0.725,1.755,1,ok
6,67,168,67.01,168.01,0.01,0.01,0.273,0.385,0.722,1.793,1,ok
7,78,178,78.0,178.01,0.0,0.01,0.206,0.304,0.721,1.631,1,ok
8,91,186,91.0,185.99,0.0,0.01,0.349,0.208,0.724,1.697,1,ok
9,102,186,101.99,186.0,0.01,0.0,0.298,0.102,0.720,1.527,1,ok
10,106,178,106.01,178.01,0.01,0.01,0.178,0.160,0.723,1.473,1,ok
11,106,167,106.01,167.0,0.01,0.0,0.062,0.288,0.729,1.489,1,ok
12,105,155,105.0,155.0,0.0,0.0,0.203,0.304,0.726,1.635,1,ok
13,104,143,104.0,143.0,0.0,0.0,0.210,0.144,0.721,1.478,1,ok
14,112,137,112.0,136.99,0.0,0.01,0.258,0.334,0.722,1.715,1,ok
