frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,19.99,155.0,0.01,0.0,0.211,0.669,0.727,2.024,1,SLOW
2,18,143,17.99,143.0,0.01,0.0,0.142,0.305,0.726,1.580,1,ok
3,27,138,27.0,137.99,0.0,0.01,0.131,0.400,0.722,1.654,1,ok
4,40,143,40.01,143.0,0.01,0.0,0.202,0.275,0.724,1.614,1,ok
5,55,155,55.0,154.99,0.0,0.01,0.188,0.336,0.727,1.660,1,ok
6,67,168,67.0,168.0,0.0,0.0,0.236,0.503,0.722,1.867,1,ok
7,78,178,78.0,178.01,0.0,0.01,0.304,0.160,0.725,1.598,1,ok
8,91,186,91.0,186.0,0.0,0.0,0.258,0.335,0.721,1.729,1,ok
9,102,186,102.01,185.99,0.01,0.01,0.287,0.095,0.724,1.518,1,ok
10,106,178,105.99,178.0,0.01,0.0,0.191,0.225,0.724,1.541,1,ok
11,106,167,106.0,166.99,0.0,0.01,0.051,0.129,0.725,1.315,1,ok
12,105,155,105.0,155.0,0.0,0.0,0.220,0.288,0.722,1.642,1,ok
13,104,143,104.0,143.0,0.0,0.0,0.178,0.336,0.721,1.645,1,ok
14,112,137,112.01,137.0,0.01,0.0,0.388,0.209,0.722,1.731,1,ok
