frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,20.0,155.0,0.0,0.0,0.221,0.576,0.722,1.923,1,ok
2,18,143,18.01,143.01,0.01,0.01,0.119,0.287,0.721,1.540,1,ok
3,27,138,27.0,138.01,0.0,0.01,0.097,0.352,0.726,1.580,1,ok
4,40,143,40.0,143.0,0.0,0.0,0.100,0.272,0.722,1.509,1,ok
5,55,155,55.01,155.0,0.01,0.0,0.189,0.256,0.721,1.566,1,ok
6,67,168,67.0,167.99,0.0,0.01,0.365,0.241,0.723,1.734,1,ok
7,78,178,77.99,178.0,0.01,0.0,0.341,0.295,0.728,1.777,1,ok
8,91,186,90.99,186.0,0.01,0.0,0.237,0.293,0.722,1.657,1,ok
9,102,186,102.0,185.99,0.0,0.01,0.244,0.080,0.722,1.461,1,ok
10,106,178,105.99,178.01,0.01,0.01,0.204,0.151,0.723,1.481,1,ok
11,106,167,106.0,166.99,0.0,0.01,0.051,0.287,0.727,1.481,1,ok
12,105,155,105.0,155.01,0.0,0.01,0.183,0.336,0.725,1.652,1,ok
13,104,143,104.01,143.01,0.01,0.01,0.194,0.368,0.724,1.702,1,ok
14,112,137,112.0,137.0,0.0,0.0,0.299,0.271,0.727,1.709,1,ok
