frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,20.01,155.01,0.01,0.01,0.206,0.640,0.726,1.978,1,ok
2,18,143,18.0,143.0,0.0,0.0,0.107,0.335,0.731,1.576,1,ok
3,27,138,27.0,138.0,0.0,0.0,0.160,0.211,0.728,1.515,1,ok
4,40,143,40.0,143.0,0.0,0.0,0.159,0.211,0.726,1.500,1,ok
5,55,155,55.01,155.01,0.01,0.01,0.174,0.312,0.726,1.628,1,ok
6,67,168,67.0,168.0,0.0,0.0,0.294,0.414,0.727,1.842,1,ok
7,78,178,77.99,178.0,0.01,0.0,0.174,0.244,0.733,1.562,1,ok
8,91,186,91.0,185.99,0.0,0.01,0.249,0.277,0.731,1.664,1,ok
9,102,186,102.01,186.01,0.01,0.01,0.220,0.111,0.724,1.470,1,ok
10,106,178,106.01,178.01,0.01,0.01,0.217,0.436,0.729,1.786,1,ok
11,106,167,106.0,167.0,0.0,0.0,0.038,0.128,0.733,1.314,1,ok
12,105,155,104.99,155.0,0.01,0.0,0.186,0.264,0.729,1.593,1,ok
13,104,143,104.0,142.99,0.0,0.01,0.158,0.321,0.727,1.615,1,ok
14,112,137,112.01,137.01,0.01,0.01,0.237,0.262,0.724,1.636,1,ok
