frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,19.99,155.0,0.01,0.0,0.177,0.656,0.725,1.964,1,ok
2,18,143,18.01,143.01,0.01,0.01,0.115,0.367,0.722,1.607,1,ok
3,27,138,27.01,138.0,0.01,0.0,0.171,0.356,0.723,1.659,1,ok
4,40,143,40.0,143.0,0.0,0.0,0.173,0.321,0.721,1.626,1,ok
5,55,155,54.99,155.0,0.01,0.0,0.114,0.240,0.720,1.485,1,ok
6,67,168,67.01,167.99,0.01,0.01,0.339,0.305,0.725,1.775,1,ok
7,78,178,78.0,178.01,0.0,0.01,0.370,0.160,0.724,1.666,1,ok
8,91,186,91.0,185.99,0.0,0.01,0.255,0.311,0.726,1.697,1,ok
9,102,186,101.99,186.0,0.01,0.0,0.237,0.080,0.725,1.442,1,ok
10,106,178,106.0,178.0,0.0,0.0,0.216,0.344,0.724,1.699,1,ok
11,106,167,106.0,167.0,0.0,0.0,0.051,0.464,0.724,1.651,1,ok
12,105,155,104.99,155.01,0.01,0.01,0.189,0.273,0.724,1.595,1,ok
13,104,143,104.0,142.99,0.0,0.01,0.191,0.384,0.721,1.700,1,ok
14,112,137,112.01,136.99,0.01,0.01,0.253,0.254,0.721,1.637,1,ok
