frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,19.99,155.0,0.01,0.0,0.147,0.852,0.729,2.134,1,SLOW
2,18,143,18.0,143.0,0.0,0.0,0.108,0.287,0.721,1.518,1,ok
3,27,138,27.0,138.0,0.0,0.0,0.140,0.384,0.725,1.659,1,ok
4,40,143,40.01,143.0,0.01,0.0,0.124,0.639,0.724,1.902,1,ok
5,55,155,54.99,155.0,0.01,0.0,0.173,0.272,0.724,1.571,1,ok
6,67,168,67.0,168.0,0.0,0.0,0.248,0.304,0.724,1.691,1,ok
7,78,178,78.0,177.99,0.0,0.01,0.187,0.295,0.722,1.619,1,ok
8,91,186,90.99,186.0,0.01,0.0,0.199,0.272,0.724,1.608,1,ok
9,102,186,101.99,186.0,0.01,0.0,0.253,0.343,0.728,1.731,1,ok
10,106,178,106.0,178.0,0.0,0.0,0.184,0.256,0.726,1.577,1,ok
11,106,167,106.0,166.99,0.0,0.01,0.071,0.321,0.723,1.523,1,ok
12,105,155,104.99,154.99,0.01,0.01,0.199,0.300,0.722,1.628,1,ok
13,104,143,104.0,142.99,0.0,0.01,0.182,0.275,0.723,1.592,1,ok
14,112,137,112.0,136.99,0.0,0.01,0.205,0.207,0.722,1.539,1,ok
