frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,19.99,155.0,0.01,0.0,0.173,0.624,0.722,1.928,1,ok
2,18,143,18.01,142.97,0.01,0.03,0.147,0.402,0.722,1.677,1,ok
3,27,138,26.99,138.01,0.01,0.01,0.133,0.175,0.723,1.436,1,ok
4,40,143,39.99,143.0,0.01,0.0,0.134,0.256,0.723,1.527,1,ok
5,55,155,55.01,155.01,0.01,0.01,0.237,0.327,0.722,1.689,1,ok
6,67,168,66.99,168.0,0.01,0.0,0.315,0.200,0.723,1.640,1,ok
7,78,178,78.0,178.0,0.0,0.0,0.377,0.271,0.726,1.778,1,ok
8,91,186,91.0,185.99,0.0,0.01,0.261,0.258,0.723,1.642,1,ok
9,102,186,102.0,186.0,0.0,0.0,0.281,0.080,0.722,1.499,1,ok
10,106,178,106.01,178.0,0.01,0.0,0.156,0.416,0.723,1.701,1,ok
11,106,167,106.01,167.0,0.01,0.0,0.054,0.128,0.721,1.313,1,ok
12,105,155,105.0,154.99,0.0,0.01,0.179,0.400,0.721,1.710,1,ok
13,104,143,104.01,143.01,0.01,0.01,0.182,0.349,0.720,1.662,1,ok
14,112,137,112.0,136.99,0.0,0.01,0.260,0.308,0.720,1.702,1,ok
