frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,20.01,155.0,0.01,0.0,0.135,0.640,0.722,1.899,1,ok
2,18,143,17.99,143.0,0.01,0.0,0.138,0.368,0.725,1.633,1,ok
3,27,138,27.0,138.01,0.0,0.01,0.120,0.322,0.723,1.573,1,ok
4,40,143,40.0,143.01,0.0,0.01,0.162,0.288,0.726,1.584,1,ok
5,55,155,55.0,154.99,0.0,0.01,0.160,0.256,0.721,1.547,1,ok
6,67,168,67.01,167.99,0.01,0.01,0.212,0.304,0.721,1.645,1,ok
7,78,178,78.0,178.01,0.0,0.01,0.182,0.192,0.722,1.506,1,ok
8,91,186,91.0,186.0,0.0,0.0,0.259,0.304,0.721,1.694,1,ok
9,102,186,102.0,186.01,0.0,0.01,0.227,0.096,0.724,1.448,1,ok
10,106,178,106.0,178.01,0.0,0.01,0.233,0.209,0.721,1.563,1,ok
11,106,167,106.0,167.0,0.0,0.0,0.076,0.225,0.722,1.435,1,ok
12,105,155,105.0,154.99,0.0,0.01,0.207,0.320,0.726,1.668,1,ok
13,104,143,104.01,142.99,0.01,0.01,0.186,0.293,0.724,1.618,1,ok
14,112,137,112.0,137.01,0.0,0.01,0.246,0.256,0.722,1.635,1,ok
