frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,20.01,155.0,0.01,0.0,0.223,0.699,0.726,2.059,1,SLOW
2,18,143,17.99,142.99,0.01,0.01,0.090,0.304,0.727,1.526,1,ok
3,27,138,26.99,138.0,0.01,0.0,0.146,0.247,0.721,1.516,1,ok
4,40,143,40.01,142.99,0.01,0.01,0.133,0.289,0.725,1.547,1,ok
5,55,155,55.0,154.99,0.0,0.01,0.152,0.240,0.723,1.526,1,ok
6,67,168,67.0,168.0,0.0,0.0,0.338,0.190,0.724,1.654,1,ok
7,78,178,78.01,178.0,0.01,0.0,0.233,0.305,0.721,1.664,1,ok
8,91,186,90.99,186.0,0.01,0.0,0.200,0.388,0.720,1.715,1,ok
9,102,186,101.99,186.0,0.01,0.0,0.227,0.080,0.723,1.432,1,ok
10,106,178,105.99,178.01,0.01,0.01,0.251,0.272,0.721,1.657,1,ok
11,106,167,106.0,167.01,0.0,0.01,0.062,0.304,0.723,1.501,1,ok
12,105,155,105.0,155.0,0.0,0.0,0.192,0.328,0.726,1.657,1,ok
13,104,143,103.99,143.0,0.01,0.0,0.182,0.368,0.721,1.682,1,ok
14,112,137,112.0,136.99,0.0,0.01,0.242,0.420,0.723,1.795,1,ok
