frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,20.0,154.99,0.0,0.01,0.161,0.590,0.727,1.894,1,ok
2,18,143,18.01,143.0,0.01,0.0,0.114,0.289,0.724,1.538,1,ok
3,27,138,27.0,138.01,0.0,0.01,0.144,0.309,0.724,1.591,1,ok
4,40,143,40.0,143.01,0.0,0.01,0.167,0.372,0.724,1.671,1,ok
5,55,155,55.0,155.0,0.0,0.0,0.156,0.360,0.727,1.656,1,ok
6,67,168,67.0,168.0,0.0,0.0,0.313,0.396,0.726,1.848,1,ok
7,78,178,77.99,178.0,0.01,0.0,0.333,0.177,0.732,1.646,1,ok
8,91,186,91.0,186.01,0.0,0.01,0.238,0.326,0.731,1.708,1,ok
9,102,186,102.0,185.99,0.0,0.01,0.212,0.095,0.723,1.441,1,ok
10,106,178,106.01,178.01,0.01,0.01,0.221,0.335,0.729,1.692,1,ok
11,106,167,106.0,167.0,0.0,0.0,0.102,0.127,0.723,1.356,1,ok
12,105,155,104.99,154.99,0.01,0.01,0.187,0.291,0.731,1.613,1,ok
13,104,143,104.0,143.0,0.0,0.0,0.209,0.295,0.727,1.644,1,ok
14,112,137,112.01,137.01,0.01,0.01,0.267,0.224,0.723,1.627,1,ok
