frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,20,155,19.99,154.99,0.01,0.01,0.187,0.579,0.082,1.251,1,ok
2,18,143,18.01,143.0,0.01,0.0,0.140,0.314,0.083,0.950,1,ok
3,27,138,27.0,137.99,0.0,0.01,0.286,0.128,0.083,0.899,1,ok
4,40,143,40.01,143.0,0.01,0.0,0.187,0.130,0.104,0.827,1,ok
5,55,155,54.99,155.0,0.01,0.0,0.154,0.280,0.084,0.932,1,ok
6,67,168,67.0,167.99,0.0,0.01,0.342,0.244,0.082,1.071,1,ok
7,78,178,78.01,178.0,0.01,0.0,0.245,0.243,0.080,0.972,1,ok
8,91,186,91.0,185.99,0.0,0.01,0.231,0.356,0.091,1.092,1,ok
9,102,186,102.0,186.0,0.0,0.0,0.280,0.080,0.083,0.855,1,ok
10,106,178,106.01,178.01,0.01,0.01,0.210,0.128,0.083,0.836,1,ok
11,106,167,106.01,167.0,0.01,0.0,0.044,0.385,0.069,0.911,1,ok
12,105,155,105.0,155.0,0.0,0.0,0.102,0.343,0.085,0.944,1,ok
13,104,143,103.99,143.01,0.01,0.01,0.225,0.264,0.086,0.989,1,ok
14,112,137,112.0,137.01,0.0,0.01,0.241,0.256,0.081,0.990,1,ok
