frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,55,10,54.99,9.99,0.01,0.01,0.260,0.368,0.491,1.532,1,ok
2,85,100,85.0,99.99,0.0,0.01,0.297,0.480,0.494,1.677,1,ok
3,46,70,46.0,70.0,0.0,0.0,0.239,0.315,0.492,1.456,1,ok
4,151,88,151.0,88.0,0.0,0.0,0.505,0.228,0.490,1.627,1,ok
5,71,98,70.99,98.0,0.01,0.0,0.253,0.256,0.493,1.415,1,ok
6,3,99,3.0,99.0,0.0,0.0,0.260,0.256,0.489,1.420,1,ok
7,55,7,55.01,7.0,0.01,0.0,0.214,0.480,0.494,1.592,1,ok
8,23,41,22.99,41.0,0.01,0.0,0.125,0.671,0.489,1.690,1,ok
9,35,19,35.01,19.0,0.01,0.0,0.225,0.288,0.490,1.415,1,ok
10,177,43,177.0,43.0,0.0,0.0,0.488,0.416,0.492,1.797,1,ok
11,30,17,30.0,16.99,0.0,0.01,0.370,0.294,0.494,1.573,1,ok
12,44,19,44.0,18.99,0.0,0.01,0.249,0.160,0.492,1.317,1,ok
13,30,47,30.0,47.0,0.0,0.0,0.146,0.336,0.492,1.380,1,ok
14,86,100,86.0,100.0,0.0,0.0,0.448,0.430,0.490,1.776,1,ok
