frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,97,90,97.0,90.0,0.0,0.0,0.442,0.515,0.489,1.855,1,ok
2,120,55,120.0,54.99,0.0,0.01,0.299,0.480,0.491,1.683,1,ok
3,177,93,176.99,93.0,0.01,0.0,0.310,0.369,0.491,1.584,1,ok
4,70,90,70.0,90.01,0.0,0.01,0.297,0.252,0.490,1.451,1,ok
5,150,80,150.0,80.01,0.0,0.01,0.537,0.224,0.498,1.662,1,ok
6,74,93,74.0,93.0,0.0,0.0,0.310,0.208,0.491,1.421,1,ok
7,40,57,40.0,56.99,0.0,0.01,0.184,0.208,0.492,1.297,1,ok
8,30,48,30.01,47.99,0.01,0.01,0.132,0.355,0.494,1.395,1,ok
9,43,13,43.0,12.99,0.0,0.01,0.161,0.368,0.494,1.427,1,ok
10,10,44,9.99,43.99,0.01,0.01,0.207,0.347,0.497,1.453,1,ok
11,100,64,100.0,64.0,0.0,0.0,0.394,0.225,0.499,1.524,1,ok
12,12,44,12.0,44.0,0.0,0.0,0.239,0.176,0.493,1.319,1,ok
13,46,13,45.99,12.99,0.01,0.01,0.264,0.306,0.492,1.473,1,ok
14,119,55,119.0,55.0,0.0,0.0,0.357,0.448,0.495,1.712,1,ok
