frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,37,62,37.0,62.01,0.0,0.01,0.279,0.337,0.492,1.520,1,ok
2,137,81,137.0,81.01,0.0,0.01,0.325,0.543,0.494,1.779,1,ok
3,54,97,54.0,97.01,0.0,0.01,0.239,0.337,0.495,1.485,1,ok
4,43,75,42.99,75.01,0.01,0.01,0.301,0.304,0.491,1.507,1,ok
5,38,65,38.0,65.0,0.0,0.0,0.073,0.288,0.493,1.269,1,ok
6,4,88,4.01,88.0,0.01,0.0,0.196,0.257,0.501,1.368,1,ok
7,175,71,174.99,71.0,0.01,0.0,0.552,0.305,0.496,1.759,1,ok
8,129,14,129.0,13.99,0.0,0.01,0.454,0.344,0.493,1.694,1,ok
9,79,48,78.98,48.0,0.02,0.0,0.199,0.482,0.491,1.579,1,ok
10,123,14,123.0,14.0,0.0,0.0,0.426,0.321,0.491,1.653,1,ok
11,53,26,52.99,26.0,0.01,0.0,0.243,0.511,0.493,1.650,1,ok
12,31,47,30.99,47.0,0.01,0.0,0.207,0.422,0.499,1.542,1,ok
13,36,60,36.01,60.0,0.01,0.0,0.119,0.255,0.493,1.272,1,ok
14,136,80,136.0,80.01,0.0,0.01,0.444,0.160,0.491,1.503,1,ok
