frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,51,14,51.0,14.0,0.0,0.0,0.209,0.288,10.968,11.873,2,SLOW,RETRY2
2,55,2,55.01,1.99,0.01,0.01,0.207,0.225,0.490,1.325,1,ok
3,177,97,177.0,96.99,0.0,0.01,0.368,0.432,0.496,1.701,1,ok
4,67,91,67.01,91.01,0.01,0.01,0.373,0.129,0.490,1.402,1,ok
5,168,96,167.99,96.01,0.01,0.01,0.443,0.195,0.495,1.538,1,ok
6,136,70,136.0,70.01,0.0,0.01,0.277,0.209,0.491,1.389,1,ok
7,124,59,124.01,59.0,0.01,0.0,0.280,0.128,0.501,1.311,1,ok
8,95,91,95.0,91.0,0.0,0.0,0.275,0.384,0.494,1.567,1,ok
9,123,0,123.01,0.01,0.01,0.01,0.306,0.432,0.491,1.639,1,ok
10,97,57,96.99,57.0,0.01,0.0,0.251,0.352,42.550,43.559,4,SLOW,TRIG_FAIL,RETRY4
11,28,11,28.0,10.99,0.0,0.01,0.281,0.313,42.588,43.599,4,SLOW,TRIG_FAIL,RETRY4
12,39,16,39.0,16.01,0.0,0.01,0.180,0.278,42.592,43.466,4,SLOW,TRIG_FAIL,RETRY4
13,49,15,48.99,15.01,0.01,0.01,0.154,0.248,42.589,43.407,4,SLOW,TRIG_FAIL,RETRY4
