frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,103,90,103.01,90.0,0.01,0.0,0.492,0.464,0.497,1.868,1,ok
2,114,55,114.0,55.0,0.0,0.0,0.237,0.496,0.495,1.634,1,ok
3,123,55,122.99,55.0,0.01,0.0,0.299,0.103,0.496,1.300,1,ok
4,77,89,77.01,89.0,0.01,0.0,0.294,0.271,0.490,1.467,1,ok
5,161,80,161.01,79.99,0.01,0.01,0.607,0.335,0.495,1.841,1,ok
6,142,66,142.0,66.0,0.0,0.0,0.446,0.401,0.492,1.742,1,ok
7,170,85,170.01,85.0,0.01,0.0,0.289,0.321,0.497,1.507,1,ok
8,87,94,86.99,94.01,0.01,0.01,0.280,0.359,0.496,1.552,1,ok
9,97,94,96.99,94.01,0.01,0.01,0.309,0.096,0.492,1.308,1,ok
10,7,75,6.99,75.0,0.01,0.0,0.361,0.301,0.490,1.555,1,ok
11,29,0,29.0,0.0,0.0,0.0,0.162,0.641,0.491,1.698,1,ok
12,12,55,12.0,55.0,0.0,0.0,0.238,0.481,0.491,1.616,1,ok
13,17,50,17.01,50.0,0.01,0.0,0.157,0.224,0.494,1.284,1,ok
14,5,82,4.99,81.99,0.01,0.01,0.248,0.496,0.496,1.653,1,ok
