frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,131,75,131.01,75.01,0.01,0.01,0.543,0.418,0.490,1.866,1,ok
2,41,76,41.01,76.0,0.01,0.0,0.249,0.112,0.492,1.267,1,ok
3,51,100,50.99,100.0,0.01,0.0,0.194,0.336,0.489,1.425,1,ok
4,135,81,135.01,80.99,0.01,0.01,0.464,0.450,0.493,1.815,1,ok
5,35,60,35.0,60.0,0.0,0.0,0.421,0.387,0.493,1.711,1,ok
6,56,11,56.0,10.99,0.0,0.01,0.310,0.288,0.489,1.493,1,ok
7,139,11,138.99,11.0,0.01,0.0,0.382,0.096,0.496,1.382,1,ok
8,71,39,71.0,39.01,0.0,0.01,0.310,0.273,0.493,1.486,1,ok
9,3,5,3.0,5.0,0.0,0.0,0.264,0.304,0.489,1.464,1,ok
10,69,35,69.0,35.0,0.0,0.0,0.270,0.352,0.491,1.527,1,ok
11,61,22,61.0,22.0,0.0,0.0,0.133,0.336,0.493,1.364,1,ok
12,119,56,119.0,56.0,0.0,0.0,0.463,0.288,0.489,1.642,1,ok
13,130,73,130.0,73.0,0.0,0.0,0.308,0.256,0.492,1.463,1,ok
14,40,74,40.0,74.0,0.0,0.0,0.268,0.176,0.490,1.349,1,ok
