frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,35,72,35.01,72.0,0.01,0.0,0.188,0.384,10.970,11.943,2,SLOW,RETRY2
2,38,84,37.99,84.0,0.01,0.0,0.100,0.320,0.493,1.314,1,ok
3,133,85,133.0,84.99,0.0,0.01,0.432,0.248,0.491,1.575,1,ok
4,127,73,127.0,72.99,0.0,0.01,0.314,0.270,0.497,1.485,1,ok
5,4,87,4.01,86.99,0.01,0.01,0.395,0.218,0.494,1.522,1,ok
6,67,20,67.0,19.99,0.0,0.01,0.337,0.385,0.491,1.616,1,ok
7,164,60,163.99,59.99,0.01,0.01,0.582,0.314,0.498,1.801,1,ok
8,96,11,95.99,10.99,0.01,0.01,0.339,0.338,0.497,1.588,1,ok
9,103,23,103.0,23.0,0.0,0.0,0.237,0.128,0.491,1.265,1,ok
10,107,34,107.01,33.99,0.01,0.01,0.187,0.384,0.489,1.461,1,ok
11,180,82,179.99,81.99,0.01,0.01,0.410,0.299,0.490,1.607,1,ok
12,14,96,14.0,96.0,0.0,0.0,0.429,0.287,0.506,1.622,1,ok
13,35,71,35.0,71.0,0.0,0.0,0.155,0.224,0.491,1.277,1,ok
14,137,96,136.99,95.99,0.01,0.01,0.509,0.398,0.492,1.801,1,ok
