frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,37,62,36.99,62.01,0.01,0.01,0.170,0.400,0.493,1.473,1,ok
2,137,81,137.0,81.0,0.0,0.0,0.504,0.336,0.491,1.737,1,ok
3,54,97,53.99,97.0,0.01,0.0,0.428,0.305,0.492,1.637,1,ok
4,43,75,43.0,75.01,0.0,0.01,0.150,0.320,0.495,1.369,1,ok
5,38,65,38.0,64.99,0.0,0.01,0.124,0.271,0.495,1.298,1,ok
6,4,88,4.0,88.01,0.0,0.01,0.184,0.256,0.496,1.350,1,ok
7,175,71,175.01,70.99,0.01,0.01,0.464,0.337,0.491,1.694,1,ok
8,129,14,129.01,14.0,0.01,0.0,0.321,0.368,0.491,1.588,1,ok
9,79,48,79.01,48.0,0.01,0.0,0.234,0.416,0.500,1.553,1,ok
10,123,14,123.0,14.0,0.0,0.0,0.419,0.256,0.496,1.577,1,ok
11,53,26,53.0,26.0,0.0,0.0,0.393,0.131,0.492,1.427,1,ok
12,31,47,31.01,46.99,0.01,0.01,0.250,0.282,0.492,1.439,1,ok
13,36,60,36.0,60.0,0.0,0.0,0.179,0.324,0.488,1.398,1,ok
14,136,80,136.0,80.01,0.0,0.01,0.475,0.177,0.489,1.555,1,ok
