frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,32,97,32.0,97.0,0.0,0.0,0.232,0.495,0.493,1.621,1,ok
2,133,94,133.01,94.0,0.01,0.0,0.464,0.368,0.494,1.731,1,ok
3,129,81,129.0,80.99,0.0,0.01,0.298,0.304,0.491,1.503,1,ok
4,123,67,122.99,66.99,0.01,0.01,0.265,0.291,0.500,1.472,1,ok
5,57,11,57.0,10.99,0.0,0.01,0.212,0.256,0.491,1.371,1,ok
6,113,36,113.0,35.99,0.0,0.01,0.486,0.180,0.493,1.561,1,ok
7,55,43,55.0,43.0,0.0,0.0,0.204,0.388,0.495,1.490,1,ok
8,90,8,90.01,8.01,0.01,0.01,0.326,0.448,0.490,1.673,1,ok
9,155,12,155.0,12.0,0.0,0.0,0.380,0.608,0.496,1.893,1,ok
10,143,5,143.01,4.99,0.01,0.01,0.292,0.450,0.491,1.641,1,ok
11,4,87,4.0,86.99,0.0,0.01,0.412,0.462,0.496,1.786,1,ok
12,125,72,125.0,72.0,0.0,0.0,0.542,0.304,0.491,1.739,1,ok
13,130,84,130.0,84.0,0.0,0.0,0.226,0.368,0.493,1.489,1,ok
14,35,91,35.0,90.99,0.0,0.01,0.402,0.254,0.491,1.563,1,ok
