frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,29,91,28.99,91.0,0.01,0.0,0.250,0.464,0.489,1.612,1,ok
2,30,72,29.99,72.0,0.01,0.0,0.077,0.480,0.491,1.451,1,ok
3,22,95,22.0,94.99,0.0,0.01,0.253,0.324,0.492,1.477,1,ok
4,97,100,96.99,99.99,0.01,0.01,0.359,0.448,0.488,1.706,1,ok
5,140,1,140.0,1.0,0.0,0.0,0.412,0.453,0.489,1.760,1,ok
6,48,44,48.01,44.0,0.01,0.0,0.274,0.463,0.499,1.642,1,ok
7,59,50,59.01,49.99,0.01,0.01,0.157,0.352,0.490,1.412,1,ok
8,59,50,59.01,49.99,0.01,0.01,0.040,0.096,0.494,1.035,1,ok
9,79,17,79.0,17.0,0.0,0.0,0.251,0.374,0.488,1.517,1,ok
10,140,1,140.0,1.0,0.0,0.0,0.444,0.416,0.501,1.768,1,ok
11,97,100,97.0,100.0,0.0,0.0,0.269,0.483,0.488,1.657,1,ok
12,22,95,21.99,95.0,0.01,0.0,0.325,0.271,0.495,1.499,1,ok
13,30,72,30.0,72.0,0.0,0.0,0.166,0.209,0.493,1.270,1,ok
14,29,91,29.0,91.01,0.0,0.01,0.208,0.304,0.496,1.419,1,ok
