frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,35,72,35.0,72.0,0.0,0.0,0.218,0.321,0.490,1.445,1,ok
2,38,84,38.0,84.0,0.0,0.0,0.117,0.303,0.492,1.325,1,ok
3,133,85,133.01,85.0,0.01,0.0,0.390,0.208,0.490,1.497,1,ok
4,127,73,127.01,72.99,0.01,0.01,0.316,0.287,0.496,1.499,1,ok
5,4,87,4.0,87.0,0.0,0.0,0.349,0.225,0.490,1.473,1,ok
6,67,20,67.0,19.99,0.0,0.01,0.362,0.433,0.492,1.703,1,ok
7,164,60,163.99,59.99,0.01,0.01,0.449,0.320,0.491,1.672,1,ok
8,96,11,96.01,11.0,0.01,0.0,0.328,0.320,0.497,1.554,1,ok
9,103,23,103.0,23.01,0.0,0.01,0.280,0.449,0.491,1.629,1,ok
10,107,34,107.0,34.0,0.0,0.0,0.331,0.426,0.491,1.654,1,ok
11,180,82,180.0,82.0,0.0,0.0,0.353,0.397,0.490,1.649,1,ok
12,14,96,14.0,96.01,0.0,0.01,0.425,0.255,0.499,1.595,1,ok
13,35,71,35.0,71.0,0.0,0.0,0.155,0.450,0.491,1.498,1,ok
14,137,96,136.99,96.0,0.01,0.0,0.527,0.320,0.489,1.747,1,ok
