frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,51,14,51.0,14.0,0.0,0.0,0.218,0.336,0.492,1.450,1,ok
2,55,2,55.0,2.0,0.0,0.0,0.127,0.336,0.490,1.356,1,ok
3,177,97,177.0,97.0,0.0,0.0,0.577,0.480,0.491,1.955,1,ok
4,67,91,67.0,91.0,0.0,0.0,0.301,0.176,0.501,1.387,1,ok
5,168,96,168.0,96.0,0.0,0.0,0.475,0.239,0.494,1.614,1,ok
6,136,70,135.99,70.0,0.01,0.0,0.283,0.352,0.494,1.536,1,ok
7,124,59,123.99,58.99,0.01,0.01,0.218,0.464,0.492,1.579,1,ok
8,95,91,95.0,91.0,0.0,0.0,0.237,0.432,0.495,1.575,1,ok
9,123,0,122.99,0.01,0.01,0.01,0.325,0.463,0.492,1.685,1,ok
10,97,57,96.99,57.0,0.01,0.0,0.285,0.464,0.491,1.651,1,ok
11,28,11,28.0,11.0,0.0,0.0,0.377,0.207,0.498,1.493,1,ok
12,39,16,39.01,16.0,0.01,0.0,0.178,0.400,0.499,1.486,1,ok
13,49,15,49.0,15.0,0.0,0.0,0.257,0.224,0.491,1.377,1,ok
14,55,3,54.99,3.01,0.01,0.01,0.127,0.304,0.494,1.339,1,ok
