frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,132,79,131.99,79.01,0.01,0.01,0.507,0.431,0.493,1.848,1,ok
2,45,100,44.99,100.0,0.01,0.0,0.308,0.320,0.493,1.536,1,ok
3,138,91,137.99,91.0,0.01,0.0,0.448,0.240,0.489,1.594,1,ok
4,36,68,36.01,68.0,0.01,0.0,0.293,0.319,0.494,1.512,1,ok
5,50,1,49.99,1.0,0.01,0.0,0.268,0.464,0.493,1.629,1,ok
6,112,45,112.0,44.99,0.0,0.01,0.300,0.480,0.492,1.687,1,ok
7,145,15,145.0,15.01,0.0,0.01,0.355,0.418,0.496,1.685,1,ok
8,144,26,144.0,26.0,0.0,0.0,0.218,0.255,0.490,1.372,1,ok
9,144,26,143.99,26.0,0.01,0.0,0.044,0.081,0.490,1.026,1,ok
10,145,15,145.0,15.0,0.0,0.0,0.169,0.176,0.493,1.239,1,ok
11,112,45,112.0,45.0,0.0,0.0,0.335,0.304,0.496,1.539,1,ok
12,33,56,33.01,56.0,0.01,0.0,0.296,0.335,0.495,1.539,1,ok
13,36,68,36.0,67.99,0.0,0.01,0.147,0.305,0.492,1.354,1,ok
14,138,91,138.0,91.0,0.0,0.0,0.472,0.239,0.495,1.608,1,ok
