frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,34,77,34.01,76.99,0.01,0.01,0.206,0.319,0.721,1.649,1,ok
2,99,136,98.99,135.99,0.01,0.01,0.458,0.401,0.722,1.996,1,ok
3,110,94,109.99,94.0,0.01,0.0,0.221,0.448,0.721,1.805,1,ok
4,5,71,5.0,70.99,0.0,0.01,0.287,0.369,0.725,1.790,1,ok
5,176,64,176.0,64.0,0.0,0.0,0.574,0.355,0.725,2.066,1,SLOW
6,167,58,167.01,58.0,0.01,0.0,0.409,0.608,0.723,2.154,1,SLOW
7,157,53,157.0,53.0,0.0,0.0,0.349,0.320,0.727,1.799,1,ok
8,79,4,79.0,4.01,0.0,0.01,0.293,0.342,0.725,1.761,1,ok
9,136,55,136.0,54.99,0.0,0.01,0.289,0.464,0.725,1.893,1,ok
10,136,65,136.0,65.0,0.0,0.0,0.043,0.384,0.720,1.555,1,ok
11,44,68,44.0,68.0,0.0,0.0,0.326,0.273,0.727,1.739,1,ok
12,136,82,136.0,81.99,0.0,0.01,0.376,0.256,0.722,1.757,1,ok
13,35,77,34.99,77.0,0.01,0.0,0.361,0.400,0.724,1.892,1,ok
14,123,100,122.99,100.0,0.01,0.0,0.437,0.415,0.721,1.980,1,ok
