frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,129,86,129.0,86.0,0.0,0.0,0.467,0.432,11.201,12.513,2,SLOW,RETRY2
2,96,130,95.99,130.0,0.01,0.0,0.239,0.353,0.723,1.730,1,ok
3,86,131,86.0,130.99,0.0,0.01,0.186,0.240,0.721,1.557,1,ok
4,80,136,80.01,135.99,0.01,0.01,0.198,0.416,0.724,1.743,1,ok
5,91,85,91.0,85.0,0.0,0.0,0.211,0.592,0.721,1.937,1,ok
6,84,79,84.01,79.0,0.01,0.0,0.208,0.192,0.724,1.540,1,ok
7,158,57,158.0,57.0,0.0,0.0,0.440,0.241,0.726,1.811,1,ok
8,161,5,161.0,5.0,0.0,0.0,0.293,0.419,0.724,1.848,1,ok
9,47,49,47.0,49.0,0.0,0.0,0.302,0.429,0.724,1.861,1,ok
10,125,53,125.01,53.0,0.01,0.0,0.373,0.256,0.730,1.774,1,ok
11,37,60,37.0,60.01,0.0,0.01,0.284,0.280,0.722,1.687,1,ok
12,34,65,34.0,64.99,0.0,0.01,0.108,0.255,0.723,1.498,1,ok
13,129,84,128.99,84.01,0.01,0.01,0.401,0.368,0.732,1.914,1,ok
14,98,131,98.01,130.99,0.01,0.01,0.374,0.416,0.722,1.917,1,ok
