frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,28,71,27.99,71.01,0.01,0.01,0.224,0.512,0.726,1.875,1,ok
2,127,111,127.0,111.0,0.0,0.0,0.406,0.320,0.721,1.855,1,ok
3,33,107,33.0,107.0,0.0,0.0,0.285,0.186,0.722,1.596,1,ok
4,10,104,10.0,104.0,0.0,0.0,0.154,0.272,0.720,1.555,1,ok
5,59,135,59.01,135.0,0.01,0.0,0.264,0.397,0.723,1.797,1,ok
6,167,76,166.99,75.99,0.01,0.01,0.530,0.289,0.722,1.943,1,ok
7,157,60,157.01,60.01,0.01,0.01,0.246,0.417,0.727,1.804,1,ok
8,59,47,59.0,47.0,0.0,0.0,0.264,0.384,0.729,1.784,1,ok
9,51,35,51.0,35.01,0.0,0.01,0.142,0.257,0.721,1.523,1,ok
10,24,35,24.01,35.0,0.01,0.0,0.170,0.113,0.719,1.415,1,ok
11,20,46,20.0,45.99,0.0,0.01,0.081,0.352,0.723,1.561,1,ok
12,117,69,116.99,69.0,0.01,0.0,0.416,0.312,0.723,1.864,1,ok
13,125,83,125.0,82.99,0.0,0.01,0.206,0.304,0.723,1.645,1,ok
14,103,128,103.0,127.99,0.0,0.01,0.334,0.368,0.724,1.829,1,ok
