frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,29,71,29.0,71.0,0.0,0.0,0.222,0.483,0.722,1.838,1,ok
2,123,110,123.01,110.0,0.01,0.0,0.463,0.432,0.721,2.017,1,SLOW
3,85,119,85.0,119.0,0.0,0.0,0.268,0.287,0.724,1.690,1,ok
4,164,140,164.0,139.99,0.0,0.01,0.433,0.241,0.721,1.796,1,ok
5,177,85,177.01,84.99,0.01,0.01,0.254,0.413,0.723,1.800,1,ok
6,81,83,81.01,83.01,0.01,0.01,0.289,0.288,0.722,1.715,1,ok
7,74,70,74.0,70.0,0.0,0.0,0.125,0.160,0.720,1.407,1,ok
8,58,48,58.0,48.0,0.0,0.0,0.108,0.370,0.723,1.608,1,ok
9,111,32,111.0,32.0,0.0,0.0,0.370,0.289,0.721,1.792,1,ok
10,106,41,106.0,41.0,0.0,0.0,0.321,0.448,0.722,1.899,1,ok
11,25,49,25.0,48.99,0.0,0.01,0.260,0.178,0.723,1.575,1,ok
12,120,70,120.0,70.0,0.0,0.0,0.444,0.240,0.722,1.815,1,ok
13,126,82,126.01,82.0,0.01,0.0,0.419,0.320,0.723,1.873,1,ok
14,100,128,100.0,128.01,0.0,0.01,0.369,0.416,0.722,1.907,1,ok
