frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,131,88,131.0,88.0,0.0,0.0,0.571,0.400,0.724,2.109,1,SLOW
2,121,102,121.01,102.0,0.01,0.0,0.285,0.240,0.722,1.650,1,ok
3,15,83,14.99,83.0,0.01,0.0,0.394,0.290,0.727,1.825,1,ok
4,6,76,6.0,76.0,0.0,0.0,0.149,0.226,0.721,1.512,1,ok
5,176,68,175.99,67.99,0.01,0.01,0.495,0.128,0.723,1.755,1,ok
6,85,76,85.0,76.0,0.0,0.0,0.442,0.292,0.724,1.860,1,ok
7,76,68,76.01,67.99,0.01,0.01,0.084,0.224,0.723,1.433,1,ok
8,80,6,79.99,5.99,0.01,0.01,0.138,0.273,0.723,1.547,1,ok
9,130,49,130.01,48.99,0.01,0.01,0.352,0.304,0.724,1.790,1,ok
10,131,59,131.0,59.0,0.0,0.0,0.094,0.262,0.724,1.496,1,ok
11,132,70,132.0,69.99,0.0,0.01,0.180,0.354,0.721,1.665,1,ok
12,37,69,36.99,69.0,0.01,0.0,0.306,0.451,0.728,1.896,1,ok
13,131,86,130.99,85.99,0.01,0.01,0.456,0.288,0.721,1.877,1,ok
14,26,86,26.0,85.99,0.0,0.01,0.341,0.094,0.725,1.563,1,ok
