frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,35,70,35.01,70.0,0.01,0.0,0.266,0.594,0.494,1.769,1,ok
2,45,100,44.99,100.0,0.01,0.0,0.202,0.288,0.491,1.386,1,ok
3,138,91,138.0,91.01,0.0,0.01,0.375,0.255,0.504,1.538,1,ok
4,36,68,36.01,68.0,0.01,0.0,0.319,0.403,0.493,1.627,1,ok
5,33,56,32.99,56.0,0.01,0.0,0.092,0.261,0.494,1.257,1,ok
6,32,43,32.01,43.0,0.01,0.0,0.178,0.163,0.493,1.234,1,ok
7,49,34,49.0,33.99,0.0,0.01,0.269,0.448,0.498,1.616,1,ok
8,144,26,144.0,26.0,0.0,0.0,0.553,0.352,0.498,1.815,1,ok
9,168,19,168.0,18.99,0.0,0.01,0.271,0.320,0.494,1.493,1,ok
10,145,15,144.99,14.99,0.01,0.01,0.436,0.141,0.493,1.480,1,ok
11,112,45,112.01,45.01,0.01,0.01,0.420,0.272,0.497,1.605,1,ok
12,50,1,50.01,1.01,0.01,0.01,0.238,0.358,0.492,1.496,1,ok
13,35,70,35.0,70.01,0.0,0.01,0.147,0.548,0.494,1.591,1,ok
14,39,78,38.99,77.99,0.01,0.01,0.106,0.259,0.490,1.259,1,ok
