frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,35,72,35.01,72.01,0.01,0.01,0.227,0.259,0.501,1.408,1,ok
2,38,84,38.0,84.0,0.0,0.0,0.143,0.384,0.495,1.431,1,ok
3,133,85,133.01,85.0,0.01,0.0,0.429,0.204,0.495,1.530,1,ok
4,127,73,127.0,72.99,0.0,0.01,0.247,0.128,0.493,1.275,1,ok
5,32,51,32.01,51.0,0.01,0.0,0.299,0.390,0.492,1.594,1,ok
6,110,39,109.99,39.0,0.01,0.0,0.400,0.274,0.498,1.575,1,ok
7,164,60,164.0,60.01,0.0,0.01,0.314,0.429,0.490,1.648,1,ok
8,96,11,96.0,11.0,0.0,0.0,0.408,0.217,0.497,1.527,1,ok
9,158,16,157.99,16.0,0.01,0.0,0.375,0.393,0.499,1.672,1,ok
10,107,34,107.0,34.0,0.0,0.0,0.328,0.220,0.499,1.460,1,ok
11,180,82,180.0,81.99,0.0,0.01,0.475,0.334,0.497,1.717,1,ok
12,14,96,14.0,96.01,0.0,0.01,0.455,0.368,0.494,1.720,1,ok
13,35,71,35.0,70.99,0.0,0.01,0.222,0.249,0.494,1.374,1,ok
14,137,96,136.99,96.0,0.01,0.0,0.428,0.383,0.500,1.726,1,ok
