frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,26.01,79.0,0.01,0.0,0.252,0.336,0.491,1.481,1,ok
2,38,90,37.99,90.01,0.01,0.01,0.242,0.191,0.499,1.345,1,ok
3,51,94,50.99,94.0,0.01,0.0,0.190,0.292,0.491,1.375,1,ok
4,60,90,60.0,89.99,0.0,0.01,0.142,0.277,0.488,1.318,1,ok
5,60,78,60.0,78.0,0.0,0.0,0.056,0.303,0.492,1.260,1,ok
6,65,73,65.0,72.99,0.0,0.01,0.122,0.208,0.499,1.232,1,ok
7,150,55,150.0,55.0,0.0,0.0,0.383,0.352,0.494,1.641,1,ok
8,90,3,90.0,3.0,0.0,0.0,0.320,0.213,0.492,1.429,1,ok
9,161,40,161.0,39.99,0.0,0.01,0.622,0.511,0.490,2.034,1,SLOW
10,90,60,90.0,59.99,0.0,0.01,0.282,0.288,0.489,1.469,1,ok
11,4,55,4.01,54.99,0.01,0.01,0.283,0.272,0.493,1.448,1,ok
12,112,80,112.0,80.0,0.0,0.0,0.466,0.223,0.489,1.579,1,ok
13,25,75,25.0,75.0,0.0,0.0,0.276,0.272,0.489,1.441,1,ok
14,36,86,35.99,86.0,0.01,0.0,0.178,0.308,0.488,1.378,1,ok
