frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,25.99,79.0,0.01,0.0,0.130,0.415,0.495,1.442,1,ok
2,38,90,38.0,89.99,0.0,0.01,0.143,0.224,0.499,1.271,1,ok
3,51,94,51.0,93.99,0.0,0.01,0.224,0.304,0.501,1.438,1,ok
4,60,90,59.99,89.99,0.01,0.01,0.176,0.344,0.489,1.412,1,ok
5,60,78,59.99,78.0,0.01,0.0,0.043,0.320,0.494,1.266,1,ok
6,65,73,65.0,73.0,0.0,0.0,0.285,0.383,0.498,1.572,1,ok
7,150,55,149.99,55.0,0.01,0.0,0.397,0.141,0.498,1.450,1,ok
8,90,3,90.0,3.0,0.0,0.0,0.316,0.387,0.493,1.607,1,ok
9,161,40,161.01,40.0,0.01,0.0,0.632,0.382,0.500,1.930,1,ok
10,90,60,90.01,59.99,0.01,0.01,0.224,0.338,0.496,1.473,1,ok
11,4,55,4.0,55.01,0.0,0.01,0.349,0.175,0.498,1.436,1,ok
12,112,80,112.0,80.01,0.0,0.01,0.517,0.334,0.490,1.751,1,ok
13,25,75,25.0,75.0,0.0,0.0,0.315,0.346,0.492,1.563,1,ok
14,36,86,36.0,85.99,0.0,0.01,0.232,0.354,0.489,1.484,1,ok
