frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,25.99,79.0,0.01,0.0,0.257,0.366,0.502,1.543,1,ok
2,38,90,37.99,90.01,0.01,0.01,0.177,0.225,0.495,1.304,1,ok
3,51,94,50.99,94.0,0.01,0.0,0.153,0.371,0.497,1.433,1,ok
4,60,90,60.01,90.0,0.01,0.0,0.138,0.246,0.493,1.291,1,ok
5,60,78,60.0,78.0,0.0,0.0,0.047,0.374,0.501,1.330,1,ok
6,65,73,65.01,72.99,0.01,0.01,0.248,0.487,0.497,1.643,1,ok
7,150,55,150.0,55.0,0.0,0.0,0.433,0.319,0.492,1.654,1,ok
8,90,3,89.99,3.0,0.01,0.0,0.356,0.336,0.491,1.593,1,ok
9,161,40,160.99,40.01,0.01,0.01,0.680,0.352,0.492,1.925,1,ok
10,90,60,90.0,60.0,0.0,0.0,0.274,0.225,0.494,1.398,1,ok
11,4,55,4.0,54.99,0.0,0.01,0.362,0.320,0.500,1.596,1,ok
12,112,80,112.0,80.0,0.0,0.0,0.425,0.304,0.491,1.635,1,ok
13,25,75,24.99,75.0,0.01,0.0,0.308,0.352,0.489,1.555,1,ok
14,36,86,35.99,85.99,0.01,0.01,0.128,0.321,0.493,1.356,1,ok
