frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,26.0,79.0,0.0,0.0,0.219,0.400,10.960,11.981,2,SLOW,RETRY2
2,38,90,37.99,89.99,0.01,0.01,0.221,0.304,0.489,1.419,1,ok
3,51,94,50.99,94.0,0.01,0.0,0.161,0.320,0.489,1.383,1,ok
4,60,90,59.99,89.99,0.01,0.01,0.215,0.256,0.491,1.369,1,ok
5,60,78,59.99,78.0,0.01,0.0,0.045,0.239,0.490,1.175,1,ok
6,65,73,65.0,73.0,0.0,0.0,0.178,0.321,0.490,1.396,1,ok
7,150,55,150.0,55.0,0.0,0.0,0.492,0.304,0.492,1.691,1,ok
8,90,3,90.0,2.99,0.0,0.01,0.336,0.207,0.490,1.435,1,ok
9,161,40,161.0,40.01,0.0,0.01,0.595,0.336,0.489,1.830,1,ok
10,90,60,89.99,60.0,0.01,0.0,0.269,0.272,0.491,1.444,1,ok
11,4,55,4.01,55.0,0.01,0.0,0.343,0.368,0.488,1.612,1,ok
12,112,80,112.0,80.01,0.0,0.01,0.393,0.176,0.489,1.473,1,ok
13,25,75,25.0,75.0,0.0,0.0,0.279,0.176,0.492,1.354,1,ok
14,36,86,35.99,86.0,0.01,0.0,0.139,0.304,0.489,1.347,1,ok
