frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,26.0,79.01,0.0,0.01,0.197,0.328,0.495,1.435,1,ok
2,38,90,38.0,89.99,0.0,0.01,0.189,0.320,0.497,1.408,1,ok
3,51,94,51.0,94.01,0.0,0.01,0.234,0.307,0.505,1.449,1,ok
4,60,90,59.99,90.0,0.01,0.0,0.174,0.270,0.495,1.352,1,ok
5,60,78,59.99,78.0,0.01,0.0,0.049,0.246,0.493,1.193,1,ok
6,65,73,65.01,73.0,0.01,0.0,0.182,0.304,0.490,1.386,1,ok
7,150,55,150.0,54.99,0.0,0.01,0.397,0.374,0.499,1.672,1,ok
8,90,3,90.01,3.0,0.01,0.0,0.290,0.224,0.498,1.419,1,ok
9,161,40,161.0,40.0,0.0,0.0,0.659,0.604,0.493,2.163,1,SLOW
10,90,60,89.99,60.01,0.01,0.01,0.282,0.274,0.493,1.461,1,ok
11,4,55,4.01,54.99,0.01,0.01,0.354,0.239,0.502,1.510,1,ok
12,112,80,111.99,80.0,0.01,0.0,0.523,0.307,0.495,1.727,1,ok
13,25,75,25.01,75.01,0.01,0.01,0.318,0.268,0.496,1.489,1,ok
14,36,86,35.99,86.01,0.01,0.01,0.263,0.257,0.491,1.428,1,ok
