frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,26.01,79.01,0.01,0.01,0.222,0.339,0.498,1.470,1,ok
2,38,90,38.0,90.0,0.0,0.0,0.172,0.255,0.493,1.326,1,ok
3,51,94,50.99,93.99,0.01,0.01,0.156,0.288,0.494,1.342,1,ok
4,60,90,60.0,90.0,0.0,0.0,0.139,0.358,0.502,1.411,1,ok
5,60,78,60.0,78.0,0.0,0.0,0.049,0.342,0.498,1.303,1,ok
6,65,73,64.99,73.01,0.01,0.01,0.181,0.295,0.495,1.385,1,ok
7,150,55,150.0,55.0,0.0,0.0,0.445,0.174,0.500,1.527,1,ok
8,90,3,90.01,3.01,0.01,0.01,0.319,0.403,0.496,1.631,1,ok
9,161,40,160.99,40.0,0.01,0.0,0.638,0.553,0.493,2.096,1,SLOW
10,90,60,89.99,60.0,0.01,0.0,0.245,0.340,0.495,1.486,1,ok
11,4,55,4.0,55.0,0.0,0.0,0.330,0.305,0.497,1.535,1,ok
12,112,80,112.01,79.99,0.01,0.01,0.419,0.306,0.495,1.632,1,ok
13,25,75,25.0,75.0,0.0,0.0,0.274,0.418,0.500,1.597,1,ok
14,36,86,36.0,85.99,0.0,0.01,0.155,0.241,0.500,1.311,1,ok
