frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,26.0,78.99,0.0,0.01,0.267,0.352,0.489,1.515,1,ok
2,38,90,38.0,90.01,0.0,0.01,0.143,0.256,0.490,1.301,1,ok
3,51,94,50.99,93.99,0.01,0.01,0.153,0.256,0.490,1.305,1,ok
4,60,90,60.0,89.99,0.0,0.01,0.269,0.288,0.492,1.456,1,ok
5,60,78,60.0,78.0,0.0,0.0,0.043,0.272,0.488,1.218,1,ok
6,65,73,64.99,72.99,0.01,0.01,0.263,0.336,0.489,1.497,1,ok
7,150,55,150.0,55.0,0.0,0.0,0.525,0.304,0.490,1.723,1,ok
8,90,3,89.99,2.99,0.01,0.01,0.384,0.208,0.488,1.481,1,ok
9,161,40,161.0,40.0,0.0,0.0,0.632,0.269,0.492,1.805,1,ok
10,90,60,90.0,60.01,0.0,0.01,0.294,0.292,0.489,1.488,1,ok
11,4,55,4.0,55.0,0.0,0.0,0.297,0.219,0.498,1.423,1,ok
12,112,80,112.0,80.0,0.0,0.0,0.508,0.176,0.494,1.587,1,ok
13,25,75,24.99,75.0,0.01,0.0,0.298,0.287,0.488,1.481,1,ok
14,36,86,36.01,86.0,0.01,0.0,0.143,0.337,0.491,1.375,1,ok
