frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,25.99,79.0,0.01,0.0,0.195,0.465,0.492,1.556,1,ok
2,38,90,38.0,89.99,0.0,0.01,0.139,0.272,0.494,1.316,1,ok
3,51,94,51.01,93.99,0.01,0.01,0.183,0.320,0.490,1.401,1,ok
4,60,90,59.99,90.01,0.01,0.01,0.219,0.384,0.490,1.505,1,ok
5,60,78,59.99,77.99,0.01,0.01,0.057,0.226,0.495,1.189,1,ok
6,65,73,64.99,73.0,0.01,0.0,0.166,0.346,0.488,1.416,1,ok
7,150,55,149.99,54.99,0.01,0.01,0.361,0.159,0.490,1.415,1,ok
8,90,3,90.01,3.0,0.01,0.0,0.318,0.487,0.498,1.704,1,ok
9,161,40,160.99,40.0,0.01,0.0,0.340,0.373,0.490,1.605,1,ok
10,90,60,90.01,59.99,0.01,0.01,0.325,0.216,0.494,1.445,1,ok
11,4,55,4.0,54.99,0.0,0.01,0.328,0.285,0.491,1.516,1,ok
12,112,80,111.99,80.01,0.01,0.01,0.472,0.240,0.490,1.612,1,ok
13,25,75,25.01,75.0,0.01,0.0,0.250,0.224,0.491,1.378,1,ok
14,36,86,35.99,85.99,0.01,0.01,0.150,0.272,0.491,1.317,1,ok
