frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,26.01,78.99,0.01,0.01,0.211,0.350,0.496,1.466,1,ok
2,38,90,38.0,90.0,0.0,0.0,0.162,0.224,0.488,1.278,1,ok
3,51,94,51.01,94.0,0.01,0.0,0.226,0.176,0.494,1.309,1,ok
4,60,90,60.0,90.0,0.0,0.0,0.296,0.318,0.500,1.522,1,ok
5,60,78,60.0,77.99,0.0,0.01,0.039,0.376,0.498,1.332,1,ok
6,65,73,65.0,72.99,0.0,0.01,0.193,0.386,0.500,1.495,1,ok
7,150,55,150.01,55.0,0.01,0.0,0.424,0.402,0.496,1.727,1,ok
8,90,3,90.01,3.0,0.01,0.0,0.323,0.242,0.492,1.463,1,ok
9,161,40,161.01,40.0,0.01,0.0,0.674,0.287,0.493,1.863,1,ok
10,90,60,90.01,60.0,0.01,0.0,0.242,0.162,0.497,1.306,1,ok
11,4,55,4.0,54.99,0.0,0.01,0.341,0.370,0.504,1.626,1,ok
12,112,80,112.0,80.01,0.0,0.01,0.449,0.175,0.491,1.523,1,ok
13,25,75,25.0,74.99,0.0,0.01,0.302,0.383,0.493,1.585,1,ok
14,36,86,36.0,85.99,0.0,0.01,0.169,0.262,0.494,1.337,1,ok
