frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,26.01,78.99,0.01,0.01,0.207,0.324,0.490,1.425,1,ok
2,38,90,38.01,89.99,0.01,0.01,0.253,0.240,0.492,1.391,1,ok
3,51,94,51.0,94.0,0.0,0.0,0.171,0.257,0.493,1.332,1,ok
4,60,90,60.01,90.0,0.01,0.0,0.247,0.416,0.490,1.560,1,ok
5,60,78,60.0,78.0,0.0,0.0,0.108,0.240,0.491,1.250,1,ok
6,65,73,65.0,73.0,0.0,0.0,0.185,0.230,0.493,1.312,1,ok
7,150,55,150.0,55.0,0.0,0.0,0.504,0.304,0.493,1.706,1,ok
8,90,3,89.99,3.0,0.01,0.0,0.413,0.287,0.492,1.597,1,ok
9,161,40,160.99,40.0,0.01,0.0,0.740,0.425,0.492,2.072,1,SLOW
10,90,60,90.0,60.0,0.0,0.0,0.356,0.288,0.492,1.538,1,ok
11,4,55,4.0,55.0,0.0,0.0,0.382,0.352,0.490,1.640,1,ok
12,112,80,112.0,80.01,0.0,0.01,0.501,0.175,0.502,1.581,1,ok
13,25,75,25.0,74.99,0.0,0.01,0.307,0.512,0.489,1.713,1,ok
14,36,86,36.0,86.0,0.0,0.0,0.129,0.353,0.489,1.379,1,ok
