frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,26.0,79.01,0.0,0.01,0.196,0.335,0.500,1.432,1,ok
2,38,90,38.0,90.01,0.0,0.01,0.168,0.336,0.488,1.396,1,ok
3,51,94,50.99,94.0,0.01,0.0,0.275,0.176,0.495,1.350,1,ok
4,60,90,59.99,90.0,0.01,0.0,0.203,0.288,0.504,1.396,1,ok
5,60,78,59.99,78.0,0.01,0.0,0.054,0.256,0.491,1.203,1,ok
6,65,73,64.99,73.0,0.01,0.0,0.304,0.288,0.491,1.500,1,ok
7,150,55,150.0,55.0,0.0,0.0,0.419,0.272,0.493,1.591,1,ok
8,90,3,90.0,2.99,0.0,0.01,0.282,0.416,0.490,1.605,1,ok
9,161,40,161.01,39.99,0.01,0.01,0.356,0.351,0.489,1.611,1,ok
10,90,60,90.0,60.0,0.0,0.0,0.332,0.315,0.493,1.553,1,ok
11,4,55,3.99,54.99,0.01,0.01,0.353,0.118,0.499,1.377,1,ok
12,112,80,112.0,80.01,0.0,0.01,0.416,0.271,0.493,1.592,1,ok
13,25,75,25.0,74.99,0.0,0.01,0.278,0.259,0.492,1.436,1,ok
14,36,86,36.01,86.0,0.01,0.0,0.132,0.271,0.494,1.315,1,ok
