frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,26.01,79.0,0.01,0.0,0.268,0.498,0.493,1.676,1,ok
2,38,90,37.99,90.01,0.01,0.01,0.109,0.256,0.499,1.273,1,ok
3,51,94,51.0,94.01,0.0,0.01,0.219,0.281,0.500,1.414,1,ok
4,60,90,60.0,89.99,0.0,0.01,0.243,0.322,0.498,1.471,1,ok
5,60,78,60.0,78.0,0.0,0.0,0.048,0.390,0.498,1.346,1,ok
6,65,73,65.0,72.99,0.0,0.01,0.122,0.310,0.495,1.337,1,ok
7,150,55,149.99,55.01,0.01,0.01,0.370,0.372,0.498,1.647,1,ok
8,90,3,89.99,3.01,0.01,0.01,0.369,0.441,0.494,1.718,1,ok
9,161,40,161.0,40.0,0.0,0.0,0.663,0.350,0.490,1.914,1,ok
10,90,60,90.0,60.0,0.0,0.0,0.232,0.624,0.495,1.763,1,ok
11,4,55,4.0,55.0,0.0,0.0,0.310,0.112,0.491,1.319,1,ok
12,112,80,111.99,80.0,0.01,0.0,0.367,0.322,0.491,1.582,1,ok
13,25,75,25.0,75.01,0.0,0.01,0.290,0.211,0.495,1.395,1,ok
14,36,86,36.0,86.0,0.0,0.0,0.218,0.376,0.496,1.500,1,ok
