frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,25.99,79.0,0.01,0.0,0.331,0.415,0.491,1.644,1,ok
2,38,90,37.99,90.01,0.01,0.01,0.114,0.289,0.494,1.306,1,ok
3,51,94,51.0,93.99,0.0,0.01,0.199,0.209,0.495,1.305,1,ok
4,60,90,59.99,89.99,0.01,0.01,0.157,0.352,0.494,1.414,1,ok
5,60,78,60.0,78.0,0.0,0.0,0.037,0.239,0.496,1.182,1,ok
6,65,73,65.0,72.99,0.0,0.01,0.225,0.288,0.495,1.416,1,ok
7,150,55,150.0,54.99,0.0,0.01,0.439,0.368,0.491,1.705,1,ok
8,90,3,89.99,3.0,0.01,0.0,0.354,0.559,0.491,1.811,1,ok
9,161,40,160.99,40.0,0.01,0.0,0.358,0.320,0.492,1.573,1,ok
10,90,60,89.99,60.01,0.01,0.01,0.353,0.192,0.492,1.451,1,ok
11,4,55,4.0,54.99,0.0,0.01,0.290,0.342,0.497,1.539,1,ok
12,112,80,112.01,80.01,0.01,0.01,0.537,0.271,0.492,1.712,1,ok
13,25,75,25.0,74.99,0.0,0.01,0.263,0.192,0.496,1.365,1,ok
14,36,86,36.01,86.0,0.01,0.0,0.209,0.256,0.492,1.361,1,ok
