frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,26,79,26.0,79.0,0.0,0.0,0.286,0.336,10.972,12.009,2,SLOW,RETRY2
2,38,90,37.99,90.01,0.01,0.01,0.260,0.255,0.490,1.413,1,ok
3,51,94,51.0,94.0,0.0,0.0,0.204,0.290,0.488,1.389,1,ok
4,60,90,59.99,89.99,0.01,0.01,0.206,0.336,0.491,1.448,1,ok
5,60,78,59.99,78.01,0.01,0.01,0.053,0.374,0.491,1.321,1,ok
6,65,73,64.99,73.0,0.01,0.0,0.153,0.272,0.492,1.321,1,ok
7,150,55,150.0,55.0,0.0,0.0,0.398,0.144,0.490,1.441,1,ok
8,90,3,90.01,3.01,0.01,0.01,0.316,0.400,0.490,1.611,1,ok
9,161,40,161.01,40.01,0.01,0.01,0.318,0.305,0.490,1.523,1,ok
10,90,60,90.01,60.01,0.01,0.01,0.298,0.577,0.489,1.766,1,ok
11,4,55,4.0,55.0,0.0,0.0,0.295,0.411,0.489,1.599,1,ok
12,112,80,112.0,80.0,0.0,0.0,0.465,0.336,0.489,1.694,1,ok
13,25,75,25.0,75.01,0.0,0.01,0.322,0.256,0.491,1.473,1,ok
14,36,86,35.99,86.0,0.01,0.0,0.175,0.305,0.490,1.370,1,ok
