frame,hwp_cmd,qwp_cmd,hwp_pos,qwp_pos,hwp_err,qwp_err,t_hwp_s,t_qwp_s,t_trig_s,t_total_s,trig_attempts,flags
1,32,97,31.99,97.0,0.01,0.0,0.211,0.530,0.493,1.652,1,ok
2,134,100,134.01,100.0,0.01,0.0,0.381,0.288,0.493,1.566,1,ok
3,130,80,130.0,79.99,0.0,0.01,0.288,0.350,0.502,1.555,1,ok
4,31,58,31.0,57.99,0.0,0.01,0.343,0.159,0.499,1.417,1,ok
5,33,48,33.0,48.0,0.0,0.0,0.135,0.288,0.494,1.323,1,ok
6,113,36,112.99,36.01,0.01,0.01,0.352,0.284,0.495,1.546,1,ok
7,55,43,54.99,43.0,0.01,0.0,0.287,0.132,0.500,1.336,1,ok
8,90,8,89.99,8.0,0.01,0.0,0.367,0.198,0.499,1.468,1,ok
9,155,12,154.99,12.0,0.01,0.0,0.421,0.271,0.495,1.604,1,ok
10,143,5,143.0,5.01,0.0,0.01,0.351,0.284,0.495,1.534,1,ok
11,4,87,4.0,86.99,0.0,0.01,0.417,0.479,0.501,1.804,1,ok
12,125,72,124.99,71.99,0.01,0.01,0.428,0.400,0.492,1.737,1,ok
13,130,84,130.0,84.0,0.0,0.0,0.271,0.337,0.498,1.508,1,ok
14,134,100,134.01,100.0,0.01,0.0,0.194,0.256,0.495,1.348,1,ok
